date,match,pr,result,score
07.09.2019 21:45,SIRBISTAN-PORTEKİZ,06.09.2019 - 09.09.2019,2,2 - 4
08.09.2019 21:45,İSVEÇ-NORVEÇ,06.09.2019 - 09.09.2019,0,1 - 1
30.08.2019 20:30,KAYSERİSPOR-GALATASARAY A.Ş.,30.08.2019 - 02.09.2019,2,2 - 3
31.08.2019 21:45,BEŞİKTAŞ A.Ş.-Ç. RİZESPOR A.Ş.,30.08.2019 - 02.09.2019,0,1 - 1
01.09.2019 19:15,GENÇLERBİRLİĞİ-M. BAŞAKŞEHİR,30.08.2019 - 02.09.2019,2,1 - 2
30.08.2019 20:30,KASIMPAŞA A.Ş.-MKE ANKARAGÜCÜ,30.08.2019 - 02.09.2019,2,0 - 1
31.08.2019 19:15,KONYASPOR-ANTALYASPOR A.Ş.,30.08.2019 - 02.09.2019,0,2 - 2
31.08.2019 21:45,GÖZTEPE A.Ş-DENİZLİSPOR,30.08.2019 - 02.09.2019,0,0 - 0
01.09.2019 19:15,SİVASSPOR-GAZİŞEHİR GAZİANTEP,30.08.2019 - 02.09.2019,0,1 - 1
01.09.2019 21:45,Y. MALATYASPOR-ALANYASPOR,30.08.2019 - 02.09.2019,2,2 - 3
31.08.2019 14:30,SOUTHAMPTON-MANCHESTER UNITED,30.08.2019 - 02.09.2019,0,1 - 1
01.09.2019 18:30,ARSENAL-TOTTENHAM,30.08.2019 - 02.09.2019,0,2 - 2
31.08.2019 18:30,JUVENTUS-NAPOLI,30.08.2019 - 02.09.2019,1,4 - 3
01.09.2019 19:00,LAZIO-ROMA,30.08.2019 - 02.09.2019,0,1 - 1
01.09.2019 22:00,VİLLARREAL-REAL MADRID,30.08.2019 - 02.09.2019,0,2 - 2
31.08.2019 16:30,SCHALKE 04-HERTHA BERLIN,30.08.2019 - 02.09.2019,1,3 - 0
17.08.2019 21:45,Sivasspor - Beşiktaş ,16.08.2019 - 20.08.2019,1,3 - 0
19.08.2019 20:00,Fenerbahçe - G.Gaziantep,16.08.2019 - 20.08.2019,1,5 - 0
18.08.2019 21:45,Kasımpaşa  - Trabzonspor ,16.08.2019 - 20.08.2019,0,1 - 1
18.08.2019 21:45,Y.Malatyaspor - İst.Başakşehir,16.08.2019 - 20.08.2019,1,3 - 0
17.08.2019 19:15,Gençlerbirliği - Rizespor ,16.08.2019 - 20.08.2019,2,0 - 1
17.08.2019 21:45,Kayserispor - Alanyaspor,16.08.2019 - 20.08.2019,2,0 - 1
18.08.2019 19:15,Konyaspor - Ankaragücü,16.08.2019 - 20.08.2019,0,0 - 0
18.08.2019 21:45,Göztepe - Antalyaspor ,16.08.2019 - 20.08.2019,2,0 - 1
17.08.2019 19:30,Manchester City - Tottenham,16.08.2019 - 20.08.2019,0,2 - 2
18.08.2019 18:30,Chelsea - Leicester City,16.08.2019 - 20.08.2019,0,1 - 1
17.08.2019 19:30,M'gladbach - Schalke 04,16.08.2019 - 20.08.2019,0,0 - 0
18.08.2019 16:30,E.Frankfurt - Hoffenheim,16.08.2019 - 20.08.2019,1,1 - 0
17.08.2019 18:00,Celta Vigo - Real Madrid,16.08.2019 - 20.08.2019,2,1 - 3
18.08.2019 20:00,Espanyol - Sevilla,16.08.2019 - 20.08.2019,2,0 - 2
11.08.2019 17:00,Internacional - Corinthians,10.08.2019 - 13.08.2019,0,0 - 0
11.08.2019 22:00,Botafogo - Atletico Pr,10.08.2019 - 13.08.2019,1,2 - 1
10.08.2019 14:30,West Ham Utd - Man. City,10.08.2019 - 13.08.2019,2,0 - 5
10.08.2019 17:00,Crystal Palace - Everton,10.08.2019 - 13.08.2019,0,0 - 0
10.08.2019 19:30,Tottenham - Aston Villa,10.08.2019 - 13.08.2019,1,3 - 1
11.08.2019 16:00,Leicester City - Wolverhampton,10.08.2019 - 13.08.2019,0,0 - 0
11.08.2019 16:00,Newcastle Utd - Arsenal,10.08.2019 - 13.08.2019,2,0 - 1
11.08.2019 18:30,Manchester Utd - Chelsea,10.08.2019 - 13.08.2019,1,4 - 0
10.08.2019 21:00,Angers - Bordeaux,10.08.2019 - 13.08.2019,1,3 - 1
10.08.2019 21:00,Dijon - St Etienne,10.08.2019 - 13.08.2019,2,1 - 2
10.08.2019 19:30,Groningen - Twente,10.08.2019 - 13.08.2019,2,1 - 3
11.08.2019 15:30,Waalwijk - Az Alkmaar,10.08.2019 - 13.08.2019,2,0 - 2
11.08.2019 15:30,Heerenveen - Feyenoord,10.08.2019 - 13.08.2019,0,1 - 1
10.08.2019 19:00,Dinamo Moskova - Zenit,10.08.2019 - 13.08.2019,2,0 - 2
04.08.2019 17:00,Santos - Goias,03.08.2019 - 06.08.2019,1,6 - 1
04.08.2019 22:00,Bahia - Flamengo,03.08.2019 - 06.08.2019,1,3 - 0
05.08.2019 01:00,Corinthians - Palmeiras,03.08.2019 - 06.08.2019,0,1 - 1
03.08.2019 19:00,Odds Bk - Lillestrom,03.08.2019 - 06.08.2019,1,2 - 1
04.08.2019 19:00,Viking - Molde,03.08.2019 - 06.08.2019,2,0 - 2
04.08.2019 21:00,Valerenga - Kristiansund,03.08.2019 - 06.08.2019,0,1 - 1
03.08.2019 14:00,Ural - Rostov,03.08.2019 - 06.08.2019,0,2 - 2
03.08.2019 16:30,K. Sovietov - Lokomotiv Moskova,03.08.2019 - 06.08.2019,2,1 - 2
03.08.2019 19:00,Spartak Moskova - D. Moskova,03.08.2019 - 06.08.2019,0,0 - 0
03.08.2019 21:30,Zenit - Krasnodar,03.08.2019 - 06.08.2019,0,1 - 1
04.08.2019 19:00,Rubin Kazan - Cska Moskova,03.08.2019 - 06.08.2019,2,0 - 1
